Time resolution is 1 ps
Time=0 | PC=0 | $t0(8)=x | $t1(9)=x | $t2(10)=x | $t3(11)=x
Time=5000 | PC=0 | $t0(8)=0 | $t1(9)=0 | $t2(10)=0 | $t3(11)=0
Time=25000 | PC=4 | $t0(8)=0 | $t1(9)=0 | $t2(10)=0 | $t3(11)=0
Time=35000 | PC=8 | $t0(8)=0 | $t1(9)=0 | $t2(10)=0 | $t3(11)=0
Time=45000 | PC=12 | $t0(8)=0 | $t1(9)=0 | $t2(10)=0 | $t3(11)=0
Time=55000 | PC=16 | $t0(8)=0 | $t1(9)=0 | $t2(10)=0 | $t3(11)=0
Time=65000 | PC=20 | $t0(8)=5 | $t1(9)=0 | $t2(10)=0 | $t3(11)=0
Time=75000 | PC=16 | $t0(8)=5 | $t1(9)=10 | $t2(10)=0 | $t3(11)=0
Time=85000 | PC=20 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=0
Time=95000 | PC=16 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=105000 | PC=20 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=115000 | PC=16 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=125000 | PC=20 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=135000 | PC=16 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=145000 | PC=20 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=155000 | PC=16 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
Time=165000 | PC=20 | $t0(8)=5 | $t1(9)=10 | $t2(10)=15 | $t3(11)=10
$finish called at time : 170 ns : File "D:/UOP/Projects/FinalProject/Pipeline_Processor_32_Bit/Pipeline_Processor_32_Bit.srcs/sim_1/new/Pipeline_Processor_32_Bit_tb.sv" Line 61
